번호,개방서비스명,개방서비스ID,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
2302,영화상영관,03_13_02_P,3860000,CDFF4220002007000011,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 11관,20190422172907,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2303,영화상영관,03_13_02_P,3860000,CDFF4220002007000010,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 10관,20190422172805,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2304,영화상영관,03_13_02_P,3860000,CDFF4220002007000009,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 9관,20190422172711,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2305,영화상영관,03_13_02_P,3860000,CDFF4220002007000008,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 8관,20190422172633,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2306,영화상영관,03_13_02_P,3860000,CDFF4220002007000007,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 아트하우스관,20190422172513,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2307,영화상영관,03_13_02_P,3860000,CDFF4220002007000006,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8,층 (상동, 부천터미널소풍)",14545,CGV소풍 6관,20190422172302,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2308,영화상영관,03_13_02_P,3860000,CDFF4220002007000005,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 5관,20190422172157,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2309,영화상영관,03_13_02_P,3860000,CDFF4220002007000004,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 4관,20190422172023,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,중심상업지역
2310,영화상영관,03_13_02_P,3860000,CDFF4220002007000003,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 3관,20190422171836,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2311,영화상영관,03_13_02_P,3860000,CDFF4220002007000002,20070911,,01,영업/정상,13,영업중,,,,,032-624-7804,,,"경기도 부천시 상동 539-1번지 소풍 6,7,8층 ","경기도 부천시 송내대로 239, 6,7,8층 (상동, 부천터미널소풍)",14545,CGV소풍 2관,20190422171537,U,2019-04-24 02:40:00.0,,178411.442063788    ,444684.40517583     ,영화상영관,영화상영관,12,기타,,,9,3,운수시설,,,,,,,,,,,,,,,,,,,영화관,,20070911,일반상업지역
2312,영화상영관,03_13_02_P,3860000,CDFF4220002004000018,20041218,,01,영업/정상,13,영업중,,,,,032-656-7030,,,경기도 부천시 심곡동 175-6번지 (7층) ,"경기도 부천시 부천로 11, 7층 (심곡동, 해태쇼핑)",14637,롯데시네마 부천역관 제7관,20180524091752,I,2018-08-31 23:59:59.0,,180695.719993375    ,442611.273044422    ,영화상영관,영화상영관,3,,,,3,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041218,일반상업지역
2313,영화상영관,03_13_02_P,3860000,CDFF4220002004000017,20041218,,01,영업/정상,13,영업중,,,,,032-656-7030,,,경기도 부천시 심곡동 175-6번지 (7층) ,"경기도 부천시 부천로 11, 7층 (심곡동, 해태쇼핑)",14637,롯데시네마 부천역관 제6관,20180524091814,I,2018-08-31 23:59:59.0,,180695.719993375    ,442611.273044422    ,영화상영관,영화상영관,3,,,,3,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041218,일반상업지역
2314,영화상영관,03_13_02_P,3860000,CDFF4220002004000016,20041218,,01,영업/정상,13,영업중,,,,,032-656-7030,,,경기도 부천시 심곡동 175-6번지 (7층) ,"경기도 부천시 부천로 11, 7층 (심곡동, 해태쇼핑)",14637,롯데시네마 부천역관 제5관,20180524161946,I,2018-08-31 23:59:59.0,,180695.719993375    ,442611.273044422    ,영화상영관,영화상영관,,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041218,일반상업지역
2315,영화상영관,03_13_02_P,3860000,CDFF4220002004000015,20041218,,01,영업/정상,13,영업중,,,,,032-656-7030,,,경기도 부천시 심곡동 175-6번지 (6층) ,"경기도 부천시 부천로 11, 6층 (심곡동, 해태쇼핑)",14637,롯데시네마 부천역관 제4관,20180524162116,I,2018-08-31 23:59:59.0,,180695.719993375    ,442611.273044422    ,영화상영관,영화상영관,,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041218,일반상업지역
2316,영화상영관,03_13_02_P,3860000,CDFF4220002004000014,20041218,,01,영업/정상,13,영업중,,,,,032-656-7030,,,경기도 부천시 심곡동 175-6번지 (6층) ,"경기도 부천시 부천로 11, 6층 (심곡동, 해태쇼핑)",14637,롯데시네마 부천역관 제3관,20180524163003,I,2018-08-31 23:59:59.0,,180695.719993375    ,442611.273044422    ,영화상영관,영화상영관,3,,,,3,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041218,일반상업지역
2317,영화상영관,03_13_02_P,3860000,CDFF4220002002000001,20021223,,03,폐업,03,폐업,,,,,032-328-6381,,420816,경기도 부천시 상동 461번지 뉴코아중동백화점9츰 ,,,씨네올넷 1관,20130720173423,I,2018-08-31 23:59:59.0,,178293.171578447    ,442988.573961638    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20021223,
2318,영화상영관,03_13_02_P,3860000,CDFF4220002001000003,20010727,,03,폐업,03,폐업,20041004,,,,032-668-7801,,420823,경기도 부천시 심곡동 172-15번지 ,,,씨네포엔3관,20060922135202,I,2018-08-31 23:59:59.0,,180786.534265779    ,442490.506466364    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20010727,
2319,영화상영관,03_13_02_P,3860000,CDFF4220002001000002,20010727,,03,폐업,03,폐업,20041004,,,,,,420823,경기도 부천시 심곡동 172-15번지 ,,,씨네포엔1관,20060922135129,I,2018-08-31 23:59:59.0,,180786.534265779    ,442490.506466364    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20010727,
2320,영화상영관,03_13_02_P,3860000,CDFF4220002001000001,20010309,,03,폐업,03,폐업,20040726,,,,,,422818,경기도 부천시 송내동 554번지 ,,,영시네마2관,20060922135411,I,2018-08-31 23:59:59.0,,179585.629603673    ,442495.618549197    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20010309,
2321,영화상영관,03_13_02_P,3860000,CDFF4220001978000001,19780904,,03,폐업,03,폐업,20031103,,,,032-613-8787,,420822,경기도 부천시 심곡동 153-6번지 ,,,중앙극장,20060922134747,I,2018-08-31 23:59:59.0,,181026.19301499     ,442950.087347703    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19780904,
2322,영화상영관,03_13_02_P,3900000,CDFF4220002004000009,20040916,,03,폐업,03,폐업,20080228,,,,2067-7700,,423740,경기도 광명시 철산동 261번지 파보레쇼핑몰 7층 ,"경기도 광명시 철산로 4  (철산동,파보레쇼핑몰 7층)",,씨네유 3관,20080228153714,I,2018-08-31 23:59:59.0,,188175.811151552    ,441461.453719641    ,영화상영관,영화상영관,,,,,7,,,,,,,,,,,,,,,,,,,,,영화관,,20040916,
2323,영화상영관,03_13_02_P,3900000,CDFF4220002004000008,20040916,,03,폐업,03,폐업,20080228,,,,2067-7700,,423740,경기도 광명시 철산동 261번지 파보레쇼핑몰 7층 ,"경기도 광명시 철산로 4  (철산동,파보레쇼핑몰 7층)",,씨네유 2관,20080228153623,I,2018-08-31 23:59:59.0,,188175.811151552    ,441461.453719641    ,영화상영관,영화상영관,,,,,7,,,,,,,,,,,,,,,,,,,,,영화관,,20040916,
2324,영화상영관,03_13_02_P,3900000,CDFF4220002004000007,20040916,,03,폐업,03,폐업,20080228,,,,2067-7700,,423740,경기도 광명시 철산동 261번지 파보레쇼핑몰 7층 ,"경기도 광명시 철산로 4  (철산동,파보레쇼핑몰 7층)",,씨네유 1관,20080228153101,I,2018-08-31 23:59:59.0,,188175.811151552    ,441461.453719641    ,영화상영관,영화상영관,,,,,7,,,,,,,,,,,,,,,,,,,,,영화관,,20040916,
2325,영화상영관,03_13_02_P,3900000,CDFF4220002004000006,20040830,,01,영업/정상,13,영업중,,,,,070-7405-2491,,,"경기도 광명시 광명동 150-19번지 크로앙스 7,8층 ","경기도 광명시 오리로 970, 7,8층 (광명동, 크로앙스)",14220,롯데시네마 광명6관,20190115151029,U,2019-01-17 02:40:00.0,,187160.878836654    ,441928.35248108     ,영화상영관,영화상영관,3,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20040830,
2326,영화상영관,03_13_02_P,3900000,CDFF4220002003000006,20030611,,01,영업/정상,13,영업중,,,,,02-2684-7080,,,경기도 광명시 철산동 436번지 ,경기도 광명시 철산로30번길 14 (철산동),14240,CGV광명철산 제6관,20150724182757,I,2018-08-31 23:59:59.0,,188408.982889749    ,441443.516646024    ,영화상영관,영화상영관,,,,,5,,,,,,,,,,,,,,,,,,,,,영화관,,20030611,
2327,영화상영관,03_13_02_P,3900000,CDFF4220002003000005,20030611,,01,영업/정상,13,영업중,,,,,2684-7080,,,경기도 광명시 철산동 436번지 ,경기도 광명시 철산로30번길 14 (철산동),14240,CGV광명철산 제5관,20150724181923,I,2018-08-31 23:59:59.0,,188408.982889749    ,441443.516646024    ,영화상영관,영화상영관,,,,,5,,,,,,,,,,,,,,,,,,,,,영화관,,20030611,
2328,영화상영관,03_13_02_P,3900000,CDFF4220002003000004,20030611,,01,영업/정상,13,영업중,,,,,2680-7080,,,경기도 광명시 철산동 436번지 ,경기도 광명시 철산로30번길 14 (철산동),14240,CGV광명철산 제4관,20150724181658,I,2018-08-31 23:59:59.0,,188408.982889749    ,441443.516646024    ,영화상영관,영화상영관,,,,,5,,,,,,,,,,,,,,,,,,,,,영화관,,20030611,
2329,영화상영관,03_13_02_P,3900000,CDFF4220002003000003,20030611,,01,영업/정상,13,영업중,,,,,02-2684-7080,,,경기도 광명시 철산동 436번지 ,경기도 광명시 철산로30번길 14 (철산동),14240,CGV광명철산 3관,20150724181837,I,2018-08-31 23:59:59.0,,188408.982889749    ,441443.516646024    ,영화상영관,영화상영관,,,,,4,,,,,,,,,,,,,,,,,,,,,영화관,,20030611,
2330,영화상영관,03_13_02_P,3900000,CDFF4220002003000002,20030611,,01,영업/정상,13,영업중,,,,,02-2684-7080,,,경기도 광명시 철산동 436번지 ,경기도 광명시 철산로30번길 14 (철산동),14240,CGV광명철산 GH관,20150724181803,I,2018-08-31 23:59:59.0,,188408.982889749    ,441443.516646024    ,영화상영관,영화상영관,,,,,4,,,,,,,,,,,,,,,,,,,,,영화관,,20030611,
2331,영화상영관,03_13_02_P,3900000,CDFF4220002004000005,20040830,,01,영업/정상,13,영업중,,,,,070-7405-2491,,,"경기도 광명시 광명동 150-19번지 크로앙스 7,8층 ","경기도 광명시 오리로 970, 7,8층 (광명동, 크로앙스)",14220,롯데시네마 광명5관,20190115151029,U,2019-01-17 02:40:00.0,,187160.878836654    ,441928.35248108     ,영화상영관,영화상영관,3,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20040830,
2332,영화상영관,03_13_02_P,3900000,CDFF4220002004000004,20040830,,01,영업/정상,13,영업중,,,,,070-7405-2491,,,"경기도 광명시 광명동 150-19번지 크로앙스 7,8층 ","경기도 광명시 오리로 970, 7,8층 (광명동, 크로앙스)",14220,롯데시네마 광명4관,20190115151029,U,2019-01-17 02:40:00.0,,187160.878836654    ,441928.35248108     ,영화상영관,영화상영관,3,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20040830,
2333,영화상영관,03_13_02_P,3900000,CDFF4220002004000003,20040830,,01,영업/정상,13,영업중,,,,,070-7405-2491,,,"경기도 광명시 광명동 150-19번지 크로앙스 7,8층 ","경기도 광명시 오리로 970, 7,8층 (광명동, 크로앙스)",14220,롯데시네마 광명3관,20190115151029,U,2019-01-17 02:40:00.0,,187160.878836654    ,441928.35248108     ,영화상영관,영화상영관,3,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20040830,
2334,영화상영관,03_13_02_P,3900000,CDFF4220002004000002,20040830,,01,영업/정상,13,영업중,,,,,070-7405-2491,,,"경기도 광명시 광명동 150-19번지 크로앙스 7,8층 ","경기도 광명시 오리로 970, 7,8층 (광명동, 크로앙스)",14220,롯데시네마 광명2관,20190115151029,U,2019-01-17 02:40:00.0,,187160.878836654    ,441928.35248108     ,영화상영관,영화상영관,3,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20040830,
2335,영화상영관,03_13_02_P,3900000,CDFF4220002014000007,20141203,,01,영업/정상,13,영업중,,,,,02-6226-2701,,,경기도 광명시 일직동 500번지 ,"경기도 광명시 일직로 17, 6,7층 (일직동)",14352,롯데시네마 광명아울렛 6관,20190114091040,U,2019-01-16 02:40:00.0,,189614.445275824    ,435789.263977272    ,영화상영관,,9,,,,7,2,,,,,,,,,,,,,,,,,,,,영화관,,20141203,
2336,영화상영관,03_13_02_P,3900000,CDFF4220002003000001,20030611,,01,영업/정상,13,영업중,,,,,02-2684-7080,,,경기도 광명시 철산동 436번지 ,경기도 광명시 철산로30번길 14 (철산동),14240,CGV광명철산 GS관,20140409143432,I,2018-08-31 23:59:59.0,,188408.982889749    ,441443.516646024    ,영화상영관,영화상영관,,,,,4,,,,,,,,,,,,,,,,,,,,,영화관,,20030611,
2337,영화상영관,03_13_02_P,3900000,CDFF4220002014000006,20141203,,01,영업/정상,13,영업중,,,,,02-6226-2701,,,경기도 광명시 일직동 500번지 ,"경기도 광명시 일직로 17, 6,7층 (일직동)",14352,롯데시네마 광명아울렛 7관,20190114091040,U,2019-01-16 02:40:00.0,,189614.445275824    ,435789.263977272    ,영화상영관,,9,,,,7,2,,,,,,,,,,,,,,,,,,,,영화관,,20141203,
2338,영화상영관,03_13_02_P,3900000,CDFF4220002014000005,20141203,,01,영업/정상,13,영업중,,,,,02-6226-2701,,,경기도 광명시 일직동 500번지 ,"경기도 광명시 일직로 17, 6,7층 (일직동)",14352,롯데시네마 광명아울렛 4관,20190114091040,U,2019-01-16 02:40:00.0,,189614.445275824    ,435789.263977272    ,영화상영관,,9,,,,7,2,,,,,,,,,,,,,,,,,,,,영화관,,20141203,
2339,영화상영관,03_13_02_P,3900000,CDFF4220002014000004,20141203,,01,영업/정상,13,영업중,,,,,02-6226-2701,,,경기도 광명시 일직동 500번지 ,"경기도 광명시 일직로 17, 6,7층 (일직동)",14352,롯데시네마 광명아울렛 3관,20190114091040,U,2019-01-16 02:40:00.0,,189614.445275824    ,435789.263977272    ,영화상영관,,9,,,,7,2,,,,,,,,,,,,,,,,,,,,영화관,,20141203,
2340,영화상영관,03_13_02_P,3900000,CDFF4220002014000003,20141203,,01,영업/정상,13,영업중,,,,,02-6226-2701,,,경기도 광명시 일직동 500번지 ,"경기도 광명시 일직로 17, 6,7층 (일직동)",14352,롯데시네마 광명아울렛 2관,20190114091040,U,2019-01-16 02:40:00.0,,189614.445275824    ,435789.263977272    ,영화상영관,,9,,,,7,2,,,,,,,,,,,,,,,,,,,,영화관,,20141203,
2341,영화상영관,03_13_02_P,3900000,CDFF4220002014000002,20141203,,01,영업/정상,13,영업중,,,,,02-6226-2701,,,경기도 광명시 일직동 500번지 ,"경기도 광명시 일직로 17, 6,7층 (일직동)",14352,롯데시네마 광명아울렛 1관,20190114091039,U,2019-01-16 02:40:00.0,,189614.445275824    ,435789.263977272    ,영화상영관,,9,,,,7,2,,,,,,,,,,,,,,,,,,,,영화관,,20141203,
2342,영화상영관,03_13_02_P,3900000,CDFF4220002014000001,20141203,,01,영업/정상,13,영업중,,,,,02-6226-2701,,,경기도 광명시 일직동 500번지 ,"경기도 광명시 일직로 17, 6,7층 (일직동)",14352,롯데시네마 광명아울렛 5관,20190114091039,U,2019-01-16 02:40:00.0,,189614.445275824    ,435789.263977272    ,영화상영관,,9,,,,7,2,,,,,,,,,,,,,,,,,,,,영화관,,20141203,
2343,영화상영관,03_13_02_P,3900000,CDFF4220002004000014,20040916,,03,폐업,03,폐업,20080228,,,,2067-7700,,423740,경기도 광명시 철산동 261번지 파보레쇼핑몰 7층 ,"경기도 광명시 철산로 4  (철산동,파보레쇼핑몰 7층)",,씨네유 8관,20080228154115,I,2018-08-31 23:59:59.0,,188175.811151552    ,441461.453719641    ,영화상영관,영화상영관,,,,,7,,,,,,,,,,,,,,,,,,,,,영화관,,20040916,
2344,영화상영관,03_13_02_P,3900000,CDFF4220002004000013,20040916,,03,폐업,03,폐업,20080228,,,,2067-7700,,423740,경기도 광명시 철산동 261번지 파보레쇼핑몰 7층 ,"경기도 광명시 철산로 4  (철산동,파보레쇼핑몰 7층)",,씨네유 7관,20080228154031,I,2018-08-31 23:59:59.0,,188175.811151552    ,441461.453719641    ,영화상영관,영화상영관,,,,,7,,,,,,,,,,,,,,,,,,,,,영화관,,20040916,
2345,영화상영관,03_13_02_P,3900000,CDFF4220002004000012,20040916,,03,폐업,03,폐업,20080228,,,,2067-7700,,423740,경기도 광명시 철산동 261번지 파보레쇼핑몰 7층 ,"경기도 광명시 철산로 4  (철산동,파보레쇼핑몰 7층)",,씨네유 6관,20080228153950,I,2018-08-31 23:59:59.0,,188175.811151552    ,441461.453719641    ,영화상영관,영화상영관,,,,,7,,,,,,,,,,,,,,,,,,,,,영화관,,20040916,
2346,영화상영관,03_13_02_P,3900000,CDFF4220002004000011,20040916,,03,폐업,03,폐업,20080228,,,,2067-7700,,423740,경기도 광명시 철산동 261번지 파보레쇼핑몰 7층 ,"경기도 광명시 철산로 4  (철산동,파보레쇼핑몰 7층)",,씨네유 5관,20080228153853,I,2018-08-31 23:59:59.0,,188175.811151552    ,441461.453719641    ,영화상영관,영화상영관,,,,,7,,,,,,,,,,,,,,,,,,,,,영화관,,20040916,
2347,영화상영관,03_13_02_P,3900000,CDFF4220002004000010,20040916,,03,폐업,03,폐업,20080228,,,,2067-7700,,423740,경기도 광명시 철산동 261번지 파보레쇼핑몰 7층 ,"경기도 광명시 철산로 4  (철산동,파보레쇼핑몰 7층)",,씨네유 4관,20080228153809,I,2018-08-31 23:59:59.0,,188175.811151552    ,441461.453719641    ,영화상영관,영화상영관,,,,,7,,,,,,,,,,,,,,,,,,,,,영화관,,20040916,
2348,영화상영관,03_13_02_P,3910000,CDFF4220002009000004,20141218,,01,영업/정상,13,영업중,,,,,,,,경기도 평택시 평택동 185-104번지 ,경기도 평택시 평택로 51 (평택동),17917,CGV평택 4관,20190418113617,U,2019-04-20 02:40:00.0,,207523.442711596    ,387674.877266816    ,영화상영관,,13,,,,10,3,,,,,,,,,,,,,,,,,,,,영화관,,20090422,
2349,영화상영관,03_13_02_P,3910000,CDFF4220001998000001,19980309,,03,폐업,03,폐업,20071004,,,,,,450826,경기도 평택시 평택동 45-1번지 ,경기도 평택시 평택1로 10  (평택동),,평택극장2관,20071114175857,I,2018-08-31 23:59:59.0,,207695.292054829    ,387910.388270778    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19980309,
2350,영화상영관,03_13_02_P,3910000,CDFF4220002001000002,20011006,,03,폐업,03,폐업,20030320,,,,,,459812,경기도 평택시 서정동 624-10번지 ,,,평송자동차극장,20030618130232,I,2018-08-31 23:59:59.0,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,자동차극장,,20011006,
2351,영화상영관,03_13_02_P,3910000,CDFF4220002001000003,20011212,,03,폐업,03,폐업,20071004,,,,652-5001,,450826,경기도 평택시 평택동 45-1번지 ,경기도 평택시 평택1로 10  (평택동),,평택극장 3관,20071114175922,I,2018-08-31 23:59:59.0,,207695.292054829    ,387910.388270778    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20011212,
2352,영화상영관,03_13_02_P,3910000,CDFF4220002005000017,20050805,,01,영업/정상,13,영업중,,,,,031-647-3040,,,경기도 평택시 비전동 830번지 ,경기도 평택시 경기대로 279 (비전동),,롯데시네마 평택비전 5관,20190417104236,U,2019-04-19 02:40:00.0,,209932.581670857    ,388254.423734324    ,영화상영관,영화상영관,,,,,,,,1,,,,,,,,,,,,,,,,,,영화관,,20050805,일반상업지역
2353,영화상영관,03_13_02_P,3910000,CDFF4220002005000016,20050805,,01,영업/정상,13,영업중,,,,,031-647-3040,,,경기도 평택시 비전동 830번지 ,경기도 평택시 경기대로 279 (비전동),,롯데시네마 평택비전 1관,20190417104236,U,2019-04-19 02:40:00.0,,209932.581670857    ,388254.423734324    ,영화상영관,영화상영관,,,,,,,,1,,,,,,,,,,,,,,,,,,영화관,,20050609,
2354,영화상영관,03_13_02_P,3910000,CDFF4220002005000015,20050805,,01,영업/정상,13,영업중,,,,,031-647-3040,,,경기도 평택시 비전동 830번지 ,경기도 평택시 경기대로 279 (비전동),,롯데시네마 평택비전 4관,20190417104236,U,2019-04-19 02:40:00.0,,209932.581670857    ,388254.423734324    ,영화상영관,영화상영관,,,,,,,,1,,,,,,,,,,,,,,,,,,영화관,,20050609,
2355,영화상영관,03_13_02_P,3910000,CDFF4220002005000014,20050805,,01,영업/정상,13,영업중,,,,,031-647-3040,,,경기도 평택시 비전동 830번지 ,경기도 평택시 경기대로 279 (비전동),,롯데시네마 평택비전 2관,20190417104236,U,2019-04-19 02:40:00.0,,209932.581670857    ,388254.423734324    ,영화상영관,영화상영관,,,,,,,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20050609,
2356,영화상영관,03_13_02_P,3910000,CDFF4220002005000013,20050805,,01,영업/정상,13,영업중,,,,,031-647-3040,,,경기도 평택시 비전동 830번지 ,경기도 평택시 경기대로 279 (비전동),,롯데시네마 평택비전 3관,20190417104236,U,2019-04-19 02:40:00.0,,209932.581670857    ,388254.423734324    ,영화상영관,영화상영관,,,,,,,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20050609,일반상업지역
2357,영화상영관,03_13_02_P,3910000,CDFF4220002005000012,20050519,,03,폐업,03,폐업,20080909,,,,,,459813,경기도 평택시 서정동 818-35번지 ,경기도 평택시 관광특구로 19  (서정동),,롯데시네마 송탄 6관,20090618173819,I,2018-08-31 23:59:59.0,,205335.097826367    ,396170.141027157    ,영화상영관,영화상영관,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050519,
2358,영화상영관,03_13_02_P,3910000,CDFF4220002005000011,20050519,,01,영업/정상,13,영업중,,,,,,,,경기도 평택시 서정동 818-36번지 ,경기도 평택시 관광특구로 19 (서정동),17774,롯데컬처웍스(주) 롯데시네마 송탄5관,20190114142044,U,2019-01-16 02:40:00.0,,205355.994223928    ,396167.998227949    ,영화상영관,영화상영관,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050519,
2359,영화상영관,03_13_02_P,3910000,CDFF4220002005000010,20050519,,01,영업/정상,13,영업중,,,,,070-7456-1532,,,경기도 평택시 서정동 818-36번지 ,경기도 평택시 관광특구로 19 (서정동),17774,롯데컬처웍스(주) 롯데시네마 송탄4관,20190114141908,U,2019-01-16 02:40:00.0,,205355.994223928    ,396167.998227949    ,영화상영관,영화상영관,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050519,
2360,영화상영관,03_13_02_P,3910000,CDFF4220002005000009,20050519,,01,영업/정상,13,영업중,,,,,,,,경기도 평택시 서정동 818-36번지 ,경기도 평택시 관광특구로 19 (서정동),17774,롯데컬처웍스(주) 롯데시네마 송탄3관,20190114140807,U,2019-01-16 02:40:00.0,,205355.994223928    ,396167.998227949    ,영화상영관,영화상영관,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050519,
2361,영화상영관,03_13_02_P,3910000,CDFF4220002005000008,20050519,,01,영업/정상,13,영업중,,,,,070-7456-1532,,,경기도 평택시 서정동 818-36번지 ,경기도 평택시 관광특구로 19 (서정동),17774,롯데컬처웍스(주) 롯데시네마 송탄2관,20190114134525,U,2019-01-16 02:40:00.0,,205355.994223928    ,396167.998227949    ,영화상영관,영화상영관,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050519,
